x,y,z
0.0,0.0,0.0
-0.00013595461787538744,-0.0006562516073777086,9.91028980464841e-06
-3.1614027184119484e-05,-0.0006695126838482349,3.8392037903445906e-05
0.0001753559150465531,-0.0008534762539287787,3.895383803157781e-05
-0.0001282692845148709,-0.0009203507442425429,1.2657691824734948e-06
-0.000437508017466302,-0.0013253391212508484,-1.4376284283425613e-05
-0.0005338745340199618,-0.00089371856557685,-4.415418860855809e-06
9.484997432144269e-05,-0.00013233892596558325,1.873849675221849e-05
0.0006817282338159976,0.00034602310987995327,1.2653524105888994e-06
0.004868328202734937,-0.000318048348780988,3.661590352503885e-05
0.007489331221947721,-0.00374579118765839,7.909325877371881e-05
0.006998768540068212,-0.006210933440041391,0.00010790055608458915
0.007092124667832032,-0.008122978347217931,0.00013601030272759017
0.005565433163024783,-0.010171443194931375,0.00021912250933839653
0.00470600670050319,-0.011673328908124694,0.0002255172311839881
0.003075956653764148,-0.015377011501208218,0.0003037042507488785
0.002600347545499162,-0.018525530385123556,0.00026712761661233517
0.0007116978634450653,-0.020780656666353405,0.00033300157325455155
0.0005728848164623752,-0.022754575557928675,0.00034851839777027936
-0.0013834696350784152,-0.02475149731476338,0.00037306947492588455
-0.0016839505411355199,-0.026626534046134444,0.000410757509353067
-0.0035819585564327103,-0.028669804953536996,0.00045210747329098874
-0.003914997593808094,-0.030541346183217483,0.0005149181297047191
-0.005817770100781111,-0.03192089743304754,0.0004980550226115602
-0.006191077023351314,-0.033837456400755236,0.0005608508258909122
-0.008244662006308304,-0.03420644240744133,0.0005500047130208658
-0.00814358830649633,-0.03574620154318581,0.0006066582060436224
-0.008928549424033441,-0.036668752630864214,0.0005440521488451644
-0.00877320915936125,-0.0380065159127759,0.0005994358202283946
-0.010739039054623466,-0.03741749257659573,0.0005953475648079209
-0.011825795041951699,-0.04000270858796499,0.0006088321262361636
-0.014923171238996431,-0.0401977114171777,0.000558241493831249
-0.01697351836932462,-0.04279599159102591,0.0005696382787880525
-0.019385969941606206,-0.04351101427781572,0.0005300169546631138
-0.02130775125762796,-0.04583097979237366,0.0005419593316660964
-0.023748560304132353,-0.04668985611132534,0.0005057439055661476
-0.026350333883903072,-0.04942779914590554,0.000535625500371189
-0.029116447659250397,-0.05002238058202851,0.0005120313172520134
-0.03130590729345494,-0.051666003520164386,0.0005614417680465696
-0.03323701671074414,-0.05301115368361998,0.0005832433530944768
-0.03469447216656778,-0.054963452321672504,0.0006454808052810953
-0.03706577019914426,-0.055726053117720935,0.000582456122941896
-0.03914177225631534,-0.0562750998719377,0.0006415806786681543
-0.04129573233655566,-0.05655686154887299,0.0005950616810325708
-0.04366169585026328,-0.05693744846759879,0.000586305493136438
-0.045818398530654586,-0.05524093098961127,0.0005788537907221609
-0.043023824898452356,-0.05156331622978279,0.0005815386256955116
-0.04181625327473775,-0.0513470698464023,0.0005878173090288336
-0.041239791684459445,-0.050954169425639066,0.0005024268925086464
-0.04117620208630633,-0.05082861651584907,0.0005078184736462448
-0.038879324621411415,-0.0508761356007439,0.0005020311646411104
-0.038485444123904894,-0.05110123349577112,0.0005332564708489265
-0.03759472707159354,-0.05100796085920124,0.0004276877630646116
-0.03634016462080782,-0.05054560633200192,0.0004133565467704141
-0.03592653081680804,-0.05091266589392243,0.0004280990738762405
-0.035262975435728046,-0.050864795577119724,0.0004810666388448789
-0.033992419620886415,-0.05084142467213459,0.00044111962047076615
-0.03313849064679734,-0.050195893831882894,0.0003978221212351034
-0.03271771305545816,-0.050071264185941745,0.00047905775717295125
-0.03205089736718707,-0.04957727782888341,0.000498822398080433
-0.03160207559899648,-0.04884297355427106,0.0004607057875916845
-0.030817465745069293,-0.04842990484320471,0.0004142343820481093
-0.030492038242958715,-0.04851958114454658,0.000508164879573939
-0.02873652147395022,-0.04768152721516993,0.0005739665482114175
-0.02708111751547311,-0.04630402832020232,0.0005360661359124724
-0.024374627202571025,-0.04381545541433513,0.00046448005799314666
-0.023372820472730996,-0.04292186245683964,0.0004704213612148631
-0.021499135407781454,-0.04276382729618281,0.0005113659393642489
-0.0207215997145826,-0.04147458002692809,0.0004665474481490153
-0.0194684241275228,-0.041101920709078615,0.0004599899790244419
-0.016583728483978755,-0.041669401302484706,0.0005107625970479656
-0.01417747659620674,-0.041415321421573024,0.000554605088535823
-0.012796987247869719,-0.04079322140088815,0.0004968475412851018
-0.01184769938770674,-0.04109058254154332,0.0005203352243922585
-0.010269311404089857,-0.04165576577785469,0.0005596757433697239
-0.009304976548621963,-0.041452716045020065,0.0005605945574778573
-0.008618184413779702,-0.040862544737215595,0.0004768812223078866
-0.006479476983757504,-0.041166086469639686,0.000407174431705271
-0.004715993567501648,-0.04167862633609433,0.00044439540424481757
-0.003643358693349923,-0.041427792419197036,0.00043773991953053204
-0.003431278717429546,-0.04028213324050893,0.0003659970856601956
-0.0032176454009042225,-0.040351243576870116,0.00039273069338937
-0.0029011124903991184,-0.03920780040940834,0.0003768431438766225
-0.0027079617305621273,-0.03870853640355404,0.0003540854550847564
-0.0036622692131097908,-0.038511257667979214,0.00035827268473406044
-0.0036343325868305413,-0.03800418521066307,0.0003227990563466464
-0.002434539648443988,-0.0375202473328041,0.00036164769272322914
-0.0016912122403631733,-0.03689528977917437,0.0003369032398628903
-0.0014499000127064907,-0.036536524631060746,0.00029403100897950127
-0.0018417674741214379,-0.03490435798343867,0.00025063454867815224
-0.0014929497269953321,-0.03298503469986836,0.00027445294103965165
-5.269864553834511e-05,-0.03151865203478114,0.00028689007103889605
-0.00022309379343542774,-0.030309237042640817,0.0001796956615667139
0.00022224848757794704,-0.029421939789323177,0.00016980558407536599
0.00011894261126420099,-0.02685429626559893,0.00013653686542040362
0.003207318941722117,-0.025413839211891387,0.0002497612322390341
0.0028870293285133135,-0.023597311849879496,0.00014925599676471042
0.002469853255625685,-0.021933695817192442,8.964137055322091e-05
0.003227522107088274,-0.020932242524711615,7.85582540977645e-05
0.004345634908096508,-0.019784982565412328,6.692858513012768e-05
